2026-03-20 03:09	邓爽	text	@_all 3.27号，广州5楼，要搬到T2的3楼 （3.26号，广州4楼先搬），基本T2 3楼，就把原来广州ADC的人容纳了，且包含了座舱的同学
2026-03-20 03:10	邓爽	text	童老师说，是自己搬家
2026-03-27 01:56	高炳涛	merge_forward	<forwarded_messages> ⏎ [2026-03-27T01:46:41Z] Xianming Liu: ⏎     下周初我想在 610 发版结束以后，我们一起来 review 一下仿真的状态和下一步工作，做一个 brainstorming。不是汇报，也不是我说，是咱们一起讨论，把仿真主要的同学都叫上，再叫上苟哥和 hang 这些债主们哈哈 ⏎ </forwarded_messages>
2026-03-27 01:57	高炳涛	text	@徐林鵾 你先整理个大纲
2026-03-27 01:57	高炳涛	text	我周末改一下
2026-03-27 01:58	高炳涛	text	类似一个 回顾和展望
2026-03-27 02:02		system	高炳涛 invited 李坤 to the group. New members can view all chat history.
2026-03-27 02:02	高炳涛	text	@_all 热烈欢迎我们新同学 李坤 加入仿真部！
2026-03-27 02:05	高炳涛	text	李坤同学，浙大本科，新加坡国力大学电子工程博士，历任 阿里达摩院，酷睿城的感知负责人，具有丰富的理论和实战经验。
2026-03-27 02:05	高炳涛	text	以后主要 负责 仿真部算法组的工作
2026-03-27 02:06	李坤	text	@_all 大家好，我是新加入的算法同事李坤，很高兴加入小鹏大家庭。我过往专注在感知定位等算法领域，后续主要负责仿真算法的工作，期待和各位携手共进，请大家多多关照，谢谢！
2026-03-27 02:07	高炳涛	text	@李坤 这个群是仿真部的班委同学。
2026-03-27 02:07	高炳涛	text	下周你申请个出差，我们去广州去见一下他们
2026-03-30 04:39	邓爽	text	@李坤 到了广州，可以给我打电话，我们在T2的3楼，新搬的位置，有点绕
2026-03-30 04:41	李坤	text	@邓爽 好的[碰拳]
2026-03-30 04:42	邓爽	text	广州大暴雨，不知道你们的航班延误情况咋样
2026-03-30 04:42	李坤	text	5点的飞机已经推迟到了8点
2026-03-30 04:43	邓爽	text	广州已经积水了，有些路面跟瀑布一样
2026-03-30 04:44	李坤	text	那看来改签也一样
2026-03-30 04:45	邓爽	text	今日目标，平稳到达广州
2026-03-30 06:18	高炳涛	text	落地
2026-03-30 06:51	高炳涛	text	@所有人  hello，各位班委好，我们预计安排在4月2日本周四中午12:30-15:00进行Q1 OKR复盘&Q2 OKR对齐会，主要议程安排： ⏎ - 先明 Q1 OKR复盘-15min ⏎ - 各位班委 Q2 OKR目标陈述-10min/人 ⏎ - 先明 Q2 OKR目标补充及关键事项同步-15min ⏎ 以上为本次OKR复盘&对齐会安排，请各位班委关注并提前准备哈~
2026-03-30 07:46	高炳涛	text	座位在哪
2026-03-30 07:47	夏志勋	text	<p>@高炳涛 T2-3F-A32-1</p>
2026-03-30 07:48	夏志勋	text	4 号电梯上来
2026-03-30 10:01	李坤	text	改签了 刚落地 等下到工区~
2026-03-31 02:02	邓爽	text	@_all请大家今天(3.31)完成一下，Q1的OKR复盘哈。 ⏎ https://xiaopeng.feishu.cn/wiki/DvWzwKZdsiH8crkpT0KcufE5nuf
2026-03-31 09:18	高炳涛	text	今晚大家写完吧
2026-03-31 09:18	高炳涛	text	我明天改下
2026-03-31 09:19	高炳涛	text	@_all
2026-04-01 08:30	邓爽	text	<p>@_all 需要请今天下午先完成一版OKR（明天上午，中心开会会用），时间有点紧，辛苦大家！ （可以先给思维导图）</p><p>https://xiaopeng.feishu.cn/wiki/Dp7Ww4oIsiZxD6kUPPScV3QJnXd</p>
2026-04-03 04:37	邓爽	post	@高炳涛@徐林鵾 @夏志勋  **Q2：重点对外的要点** ⏎ 1. cost 函数应用，所有Metric  ⏎ 2. 关键帧评价(减掉delta) 严肃对外应用 ⏎ 3. RC长路线与闭环，必须上线
2026-04-03 10:42	高炳涛	text	https://xiaopeng.feishu.cn/wiki/Dp7Ww4oIsiZxD6kUPPScV3QJnXd
2026-04-03 10:43	高炳涛	text	凑了一个初版
2026-04-03 10:43	高炳涛	text	大家后面一周，可以在上面直接修改
2026-04-03 10:43	高炳涛	text	可能有遗漏的
2026-04-04 05:53	高炳涛	text	https://xiaopeng.feishu.cn/wiki/DvWzwKZdsiH8crkpT0KcufE5nuf
2026-04-04 05:54	高炳涛	text	@_all 我给了一版复盘反馈。
2026-04-04 05:54	高炳涛	text	整体 是反思为主，核心进步和优点，一带而过。
2026-04-04 05:54	高炳涛	text	所以语气和措辞 偏重了一些。
2026-04-04 05:55	高炳涛	text	有些可能信息差， 可能不是全是事实， 可以找我单独 纠正。
